video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=BPwcuRD5EWA&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@UWHFS,UWHFS,UW HFS | Living Sustainably at the UW,1.5K,7 years,"To learn more about University of Washington's Housing & Food Services, visit our website here: https://hfs.uw.edu/ FACEBOOK ...",2026-01-22 07:19:51.510109
/watch?v=3SVtTKOEaA8&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@UWHFS,UWHFS,UW HFS | Lander Hall Virtual Tour,60K,10 years,Learn more about Lander Hall: http://bit.ly/UWLanderHall To learn more about University of Washington's Housing & Food ...,2026-01-22 07:19:51.511303
/watch?v=XLeU-OUZhI8&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@UWHFS,UWHFS,UW HFS | Maple Hall Virtual Tour,61K,10 years,"Maple Hall, located in West Campus, features spacious rooms with configurable furniture, plenty of windows to let in natural light, ...",2026-01-22 07:19:51.512446
/watch?v=Qknwqv_zqtg&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@KING5Seattle,KING 5 Seattle,UW campus growth master plan,260,7 years,KING 5's Chris Daniels reports.,2026-01-22 07:19:51.513708
/watch?v=mn1ajACvj98&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@KenoboMedia,KenoboMedia,"Off Campus Residences - Seattle, WA",5.9K,10 years,Affordable off-campus student housing at the University of Washington's University District.,2026-01-22 07:19:51.515015
/shorts/F_xmlJX2sH0,/@WSUPullman,WSU Pullman,Fall 2024 Housing & Move-in tips!,4K,1 year,"Some helpful residence hall & move-in tips from Sam, a @WSUPullman Residential Education Director you'll see in August!",2026-01-22 07:19:51.516281
/watch?v=-5Ra470sCxE&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@unconventionals7165,Unconventionals,Dorm Tour | University of Washington,131K,9 years,Please don't forget to LIKE this video so that others like you can find this video! :) This is a tour of a dorm in University of ...,2026-01-22 07:19:51.518045
/watch?v=71HiE89aD5M&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@universityofwashington,UW (University of Washington),UW Move-in Day 2018,7.5K,7 years,Meet some of the #NewHuskies2018 moving into University of Washington residence halls for the first time and meet their ...,2026-01-22 07:19:51.519355
/watch?v=QGQv8vv4KQg&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@universityofwashington,UW (University of Washington),Why come to the University of Washington?,1.4M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 07:20:00.262917
/watch?v=zMgJQASVsjM&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@uwmadisonvirtualtour5372,UWMadisonVirtualTour,Housing,6.7K,5 years,"UW–Madison offers dozens of housing options in two different neighborhoods, each with its own distinct vibe.",2026-01-22 07:20:00.264165
/watch?v=ZjVntWeuVHo&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@universityofwashington,UW (University of Washington),2014 Move-in Day at the UW,20K,11 years,Follow brand-new University of Washington students Marisa & Paulo as they move into their rooms at some of the UW's newest ...,2026-01-22 07:20:00.265519
/watch?v=VWe8O8tMmMA&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@udistricthousing1222,U District Housing,The Olympic House - Student Athlete Housing at UW,1.4K,2 years,The Olympic House is a first-of-its-kind living environment catered to the needs of the modern day collegiate Student Athlete in the ...,2026-01-22 07:20:00.266702
/watch?v=QpBvbpMrBAM&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@wmtv15news,"WMTV | News, Weather & Sports",UW Madison residence halls kick off move-in days,378,2 years,"Twenty-one dorms, 9000 students, four days--UW Madison students are heading back to campus with Sunday marking the first ...",2026-01-22 07:20:00.267929
/watch?v=8Zp8FhpHyiQ&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@KSDK,KSDK News,Washington University dorms ranked No. 1,1.6K,6 years,Washington University dorms ranked No. 1.,2026-01-22 07:20:00.271111
/watch?v=zZ0VNESpyjQ&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@universityofwashington,UW (University of Washington),UW Move-in Day 2016,16K,9 years,Follow along as some of the #NewsHuskies2016 move into University of Washington residence halls for the first time and meet ...,2026-01-22 07:20:00.272440
/watch?v=Hsk5N7AMAQ0&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@universityofmarywashington,University of Mary Washington,UMW Housing and Dining Agreements Available Soon!,1.5K,5 years,"If you know UMW is the place for you, take your next step and deposit. UMW Housing & Dining Agreements will be available to ...",2026-01-22 07:20:00.274037
/watch?v=aSSjMPIIM6c&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@UWHFS,UWHFS,A Dawg's Vlog // Hannah 17 | Favorite Places to Study at UW,1.7K,5 years,"To learn more about University of Washington's Housing & Food Services, visit our website here: https://hfs.uw.edu/ FACEBOOK ...",2026-01-22 07:20:00.275314
/watch?v=7994TTWNajA&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@Channel3000,Channel 3000 / News 3 Now,"With space tight, UW Housing gets creative",87,3 years,"With space tight, UW Housing gets creative.",2026-01-22 07:20:00.276910
/watch?v=zz1wxgcPNVk&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@WISN,WISN 12 News,Who's enforcing COVID-19 quarantine at two UW dorms?,537,5 years,University of Wisconsin suspended in-person classes for two weeks and students living in two of the largest residence halls are ...,2026-01-22 07:20:00.278283
/watch?v=D8gTsFhGYq8&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@UWHFS,UWHFS,UW HFS | Nordheim Apartments Virtual Tour,34K,11 years,Learn more about Nordheim Apartments here: http://bit.ly/UWNordheim To learn more about University of Washington's Housing ...,2026-01-22 07:20:00.279479
/watch?v=ulMkyMI2iko&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm3SBwkJhwoBhyohjO8%3D,/@KING5Seattle,KING 5 Seattle,Sorority to pay University of Washington students $250k in relief for housing fees,1.7K,3 years,"Alpha Omicron Pi, a national sorority based out of Tennessee, charged the students thousands in 2020 and 2021, according to ...",2026-01-22 07:20:00.282417
/watch?v=VZSeUhwYzIE&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@cecildaniels7,Cecil Daniels,Twins 1st Dorm Room Tour - University of Washington,266,5 years,I DO NOT OWN THIS MUSIC *,2026-01-22 07:20:00.283545
/watch?v=1DnTC8AWzRQ&pp=ygUddW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGRvcm0%3D,/@UWWHousing,UWW Housing,UWW Housing - Types of housing,471,5 years,Uw-Whitewater features 11 traditional residence halls one pod style hall one suite style hall and one campus operated. Apartment ...,2026-01-22 07:20:00.287766
