video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nygcOTAf67A&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Where opportunity means business - Wisconsin School of Business,8.2K,10 years,http://bus.wisc.edu/bba/admissions Our undergraduate students have a lot to say about the Wisconsin School of Business and ...,2026-01-22 07:27:34.469231
/shorts/LbOM9bjUrNI,/@UWFosterSchool,UW Foster School of Business,From Huskies to Huskies 🐾,99,5 months,Advice you'll actually use from our students.,2026-01-22 07:27:34.470564
/watch?v=xETkAyV-pDE&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@tiltmedia1,Tilt Media Inc.,UW Madison School of Business Naming Partnership,90,7 years,The School of Business Naming Partnership celebrated 10 years and this video is a look back at the success of the partnership.,2026-01-22 07:27:34.472083
/watch?v=ekjZqZwKF5M&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWContinuingEd,UWContinuingEd,UW Certificate in Business Administration,614,6 years,The Certificate in Business Administration at the University of Washington is led by the Foster School of Business. Hear from ...,2026-01-22 07:27:34.473376
/watch?v=M2vk7syD4Yg&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s0gcJCYcKAYcqIYzv,/@nataliearriaga3959,NATALIE ARRIAGA DE BROOKS,UW-Madison School of Business: Business Connect Learning Community,174,2 years,Several students within the Business Connect Learning Community of 2022-2023 share their experiences and the opportunities ...,2026-01-22 07:27:34.474542
/watch?v=_Eo5_2l542E&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Grow Your Career and Community with Foster's Hybrid MBA,84,6 months,See how the Hybrid MBA at the UW Foster School of Business blends flexible online learning with valuable in person sessions in ...,2026-01-22 07:27:34.476839
/watch?v=ii89OvnRtyw&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Take on New Challenges With a UW–Madison Business Degree,308,6 years,"Chad Brown (BBA '01) is a CFO of a global company, Trek Bicycle Corporation. His career has taken him around the world, and ...",2026-01-22 07:27:34.480404
/watch?v=pTkoouudjT0&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@wisconsinschoolofbusiness,Wisconsin School of Business at UW–Madison,Wisconsin School of Business: See where a top-ranked business education can take you.,98K,8 years,"Social Entrepreneur, Author, and Speaker Deanna Singh (Class of 2012)",2026-01-22 07:27:34.481629
/watch?v=FKicYa6T1LM&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Inside Foster’s Executive MBA: Leadership Growth that Drives Impact,117,6 months,"What does it take to evolve as a leader in today's complex business environment? In this video, alumni from Foster's Executive ...",2026-01-22 07:27:34.482928
/watch?v=K0f0JKAa0xk&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Introducing the UW Foster School of Business Master of Science in Business Analytics,1.9K,7 years,Learn more about this new 12-month program at https://foster.uw.edu/msba/,2026-01-22 07:27:34.484858
/watch?v=GyJAJe-64X0&pp=ygUSdXcgYnVzaW5lc3Mgc2Nob29s,/@UWFosterSchool,UW Foster School of Business,Foster Purpose,2.4K,4 years,"UW Foster is a world-class business school in Seattle, a pioneering city perched on the Pacific Rim. The world's best and brightest ...",2026-01-22 07:27:34.488250
